Response,original_response,Response_id
Eye-catching,Eye-catching,21
"The ad was very energetic, motivating. However, it was perhaps a little to quickly cut/overwhelming","The ad was very energetic, motivating. However, it was perhaps a little to quickly cut/overwhelming",196
Good ad. Captured me throughout the whole thing as I had no idea what they were doing to trying to sell/show me until the end. The graphics throughout were cool too.,Good ad. Captured me throughout the whole thing as I had no idea what they were doing to trying to sell/show me until the end. The graphics throughout were cool too.,29
Hobbies,Hobbies,34
I liked the ad because it featured young people striving to better themselves.,I liked the ad because it featured young people striving to better themselves.,64
"The ad is pretty engaging to the viewer, captures the eye.","The ad is pretty engaging to the viewer, captures the eye.",191
Something as little as a game from when you're a kid can turn into the sport or active activity you do professionally.,Something as little as a game from when you're a kid can turn into the sport or active activity you do professionally.,181
Sports,Sports,182
i found very entertaining. i also thought i was a very good length. also great choice of background music,i found very entertaining. i also thought i was a very good length. also great choice of background music,259
its amazing,its amazing,315
it starts as a little game,it starts as a little game,294
boring,boring,227
Effective and inspirational,Effective and inspirational,12
I bank with RBC,I bank with RBC,38
It reminds me of how kids these days don't do alto of sports,It reminds me of how kids these days don't do alot of sports,121
I really liked it! It mixed social media with sports. I enjoyed that it was promoting and encouraging youth to strive towards their dreams and aspirations by persevering as well as continually practicing in order to get better.,I really liked it! It mixed social media with sports. I enjoyed that it was promoting and encouraging youth to strive towards their dreams and aspirations by persevering as well as continually practicing in order to get better.,78
It reminded me of being a kid and doing what I love to do. The comic book style is very unique.,It reminded me of being a kid and doing what I love to do. The comic book style is very unique.,118
It was quite exciting,It was quite exciting,143
"mellow, feel good","mellow, feel good",321
"palatable, interesting, fun","relatable, interesting, fun",327
it was good,it was good,301
excitement,excitement,242
inspiring,inspiring,276
it seems to describe the product well and if i was looking for something of that nature i would definitely check it out,it seems to describe the product well and if i was looking for something of that nature i would definitely check it out,293
sports commercial,sports commercial,340
Good picture with plenty of sports,Good picture with plenty of sports,30
Really inspiring,Really inspiring,175
MOTIVATED,MOTIVATED,155
I like how well the ad was shot and that RBC is supporting new athletes,I like how well the ad was shot and that RBC is supporting new athletes,53
It reminded me of sports,It reminded me of sports,120
Empathy\,Empathy\,13
It's pretty good how they put the growth of a kids and career together,It's pretty good how they put the growth of a kids and career together,152
sports,sports,337
"It was OK. It was a little confusing but generally I enjoyed watching it, it was different from other ads.","It was ok. It was a little confusing but generally I enjoyed watching it, it was different from other ads.",123
banking,banking,225
Cool ad for athletics,Cool ad for athletics,9
"What I felt from this ad was that this training program called ""RBC Training"" helps people achieve their dreams.","What I felt from this ad was that this training program called ""RBC Training"" helps people achieve their dreams.",217
it was fun and unique,it was fun and unique,300
"Upbeat, energetic, active, excited","Upbeat, energetic, active, excited",213
It was entertaining,It was entertaining,129
FLASHY,FLASHY,22
ugh athletic stuff - not interested,ugh athletic stuff - not intersted,350
inspiring,inspiring,276
"Exitement, it showed real people, it showed how something became more.","Exitement, it showed real people, it showed how something became more.",20
happiness,happiness,254
"I liked it, it was energetic and fun.","I liked it, it was energetic and fun.",59
I was very amazed of how the woman jumped off the jumping board and did tons of flips.,I was very amazed of how the woman jumped off the jumping board and did tons of flips.,95
Neutral,Neutral,160
training ground.,training ground.,349
i think it is simple to understand and seems energetic,i think it is simple to understand and seems energetic,267
"This is a really good ad, and it makes me want to look into the banking service","This is a really good ad, and it makes me want to look into the banking service",208
Encouraging for kids,Encouraging for kids,14
"Flows well, gets the point across","Flows well, gets the point across",28
"very busy, very sports oriented. exciting but busy. a bit overwhelming","very busy, very sports oriented. exciting but busy. a bit overwhelming",351
its great,its great,318
"The ad had good content and reminded me of the Olympic Games ads which I really like. However the effects and the transitions take away from the importance of the ad, consider making it more emotional to reach the parents.","The ad had good content and reminded me of the Olympic Games ads which I really like. However the effects and the transitions take away from the importance of the ad, consider making it more emotional to reach the parents.",190
"I think it was very imaginative. It also had lots of action, and cool colors which I liked","I think it was very imaginative. It also had lots of action, and cool colors which I liked",85
is a rec ad,is a rbc ad,284
It was very nice and made me happy,It was very nice and made me happy,147
Dynamic,Dynamic,11
I think that the ad was OK,I think that the ad was ok,89
motivational,motivational,324
"Interesting, proud","Interesting, proud",105
AWESOME AND VERY GOOD,AWESOME AND VERY GOOD,1
RBC is a bank that supports young athletes in achieving their dreams,RBC is a bank that supports young athletes in achieving their dreams,173
Irrelevant to me,Irrelevant to me,108
it gives me hope for a chance to play a sport i love. football,it gives me hope for a chance to play a sport i love. football,286
I liked the music,I liked the music,69
"Fast paced, sports, athletics","Fast paced, sports, athletics",23
interesting eloquent funny,interesting eloquent funny,281
it was okay,it was okay,306
Pog,Pog,169
Very good ad. I like the sportiness,Very good ad. I like the sportiness,214
It reminded me of playing ports throughout my life.,It reminded me of playing ports throughout my life.,119
Inspiration,Inspiration,101
"It was awesome, specifically the beginning of it.","It was awesome, specifically the beginning of it.",128
I liked how the ad was short and sweet but was maybe too quick for many people. And also should give a little bit more information.,I liked how the ad was short and sweet but was maybe too quick for many people. And also should give a little bit more information.,56
Support and being active,Support and being active,185
"indifferent, it wasNT interesting or attention grabbing","indifferent, it wasnt intresting or attention grabbing",275
Took awhile for the ad to say what it was for,Took awhile for the ad to say what it was for,212
rec training for kids,rbc training for kids,330
it look like the chm Horton camp to help children,it look like the tim hortons camp to help children,289
youth athletics,youth athletics,354
interesting,interesting,279
Ad looked really good,Ad looked really good,4
"entertaining, alive","entertaining, alive",240
